flight_key,ORIGIN,DEST,dep_hour,count
AA2412,BOS,DFW,19,1
AA2427,SEA,BOS,13,1
AA2435,ATL,DEN,10,1
AA2439,JFK,SEA,18,1
AA2440,JFK,BOS,5,1
AA2447,DFW,SEA,2,1
AA2457,IAD,ORD,23,1
AA2466,ATL,LAX,18,1
AA2468,IAD,DFW,14,1
AA2469,IAD,LAX,10,1
AA248,BOS,LAX,18,1
AA2483,DEN,DFW,3,1
AA2484,IAD,DEN,13,1
AA2493,BOS,ATL,3,1
AA2494,LAX,IAD,23,1
AA2496,IAD,BOS,7,1
AA2508,SEA,DFW,18,1
AA2519,BOS,DEN,19,1
AA2523,DFW,DEN,21,1
AA2539,ORD,DFW,12,1
AA2542,LAX,SFO,17,1
AA2545,ORD,BOS,16,1
AA2568,DFW,IAD,7,1
AA2570,SFO,BOS,13,1
AA2571,DEN,JFK,9,1
AA2582,BOS,SEA,8,1
AA2588,LAX,IAD,8,1
AA2591,JFK,ORD,17,1
AA2595,BOS,SEA,12,1
AA2600,ORD,SFO,8,1
AA2604,ORD,BOS,2,1
AA2609,ATL,JFK,5,1
AA263,ORD,JFK,23,1
AA2655,ORD,BOS,15,1
AA2656,ORD,DEN,10,1
AA2661,JFK,BOS,5,1
AA2664,SFO,SEA,15,1
AA2671,DEN,LAX,11,1
AA2679,LAX,BOS,14,1
AA2697,BOS,JFK,21,1
AA2698,JFK,IAD,21,1
AA2703,ATL,SEA,22,1
AA2719,ATL,SEA,20,1
AA2720,DEN,IAD,1,1
AA2727,BOS,DEN,0,1
AA2730,BOS,LAX,22,1
AA2738,SEA,DEN,18,1
AA2743,SFO,LAX,12,1
AA2748,ORD,JFK,23,1
AA2749,IAD,SFO,18,1
AA2762,ATL,BOS,9,1
AA2774,SEA,ORD,20,1
AA2777,JFK,BOS,5,1
AA2785,BOS,SEA,17,1
AA2786,ORD,LAX,10,1
AA2787,SFO,ORD,8,1
AA2793,IAD,ORD,7,1
AA2795,IAD,JFK,21,1
AA2805,DFW,DEN,20,1
AA2820,JFK,ORD,15,1
AA2827,BOS,SFO,13,1
AA284,ATL,DFW,22,1
AA2845,SFO,DFW,15,1
AA2848,IAD,ATL,14,1
AA2849,DFW,IAD,22,1
AA2850,DFW,DEN,21,1
AA2862,IAD,ORD,20,1
AA2864,ORD,DFW,22,1
AA2865,ATL,SFO,17,1
AA2869,IAD,BOS,11,1
AA287,DFW,SFO,5,1
AA2875,JFK,DEN,23,1
AA2876,JFK,IAD,1,1
AA2879,JFK,SFO,21,1
AA2891,SFO,LAX,18,1
AA2892,DEN,IAD,8,1
AA2894,JFK,SFO,4,1
AA2895,ORD,SEA,2,1
AA2905,IAD,JFK,17,1
AA2907,BOS,DFW,8,1
AA2915,SFO,BOS,22,1
AA292,LAX,ORD,1,1
AA2920,DEN,SEA,5,1
AA2939,DFW,SEA,8,1
AA2947,BOS,DFW,15,1
AA2949,DFW,IAD,8,1
AA296,IAD,SEA,16,1
AA2964,SEA,BOS,3,1
AA298,DEN,LAX,9,1
AA2980,JFK,ATL,1,1
AA2990,BOS,IAD,11,1
AA2994,BOS,DFW,12,1
AA2997,SEA,LAX,19,1
AA2999,DFW,SEA,19,1
AA3004,IAD,ATL,9,1
AA3005,JFK,LAX,4,1
AA3007,LAX,DFW,3,1
AA3022,LAX,IAD,20,1
AA3026,LAX,IAD,11,1
AA3031,ATL,IAD,20,1
AA3047,DFW,SFO,2,1
AA3054,DFW,LAX,7,1
AA3059,DFW,IAD,7,1
AA3061,SFO,BOS,20,1
AA3112,DEN,DFW,13,1
AA3114,LAX,BOS,9,1
AA3116,ORD,ATL,0,1
AA3121,DEN,ATL,0,1
AA3125,LAX,DEN,2,1
AA313,ATL,IAD,8,1
AA3133,ORD,BOS,9,1
AA3135,DFW,ATL,19,1
AA3142,DEN,DFW,17,1
AA3153,DFW,DEN,8,1
AA3155,SEA,IAD,12,1
AA3156,IAD,ORD,18,1
AA3159,SFO,DFW,2,1
AA3160,BOS,DEN,20,1
AA3168,IAD,SEA,14,1
AA3171,SFO,DFW,17,1
AA3173,SFO,ORD,13,1
AA3179,SEA,LAX,12,1
AA3182,DFW,DEN,3,1
AA3192,LAX,IAD,20,1
AA3194,IAD,LAX,13,1
AA3215,LAX,IAD,19,1
AA3219,LAX,ATL,10,1
AA3222,DEN,IAD,7,1
AA3236,BOS,JFK,3,1
AA3242,ORD,ATL,1,1
AA3245,ATL,IAD,21,1
AA3273,SFO,JFK,1,1
AA3274,DEN,BOS,12,1
AA3280,SEA,DFW,7,1
AA3293,IAD,ATL,19,1
AA3297,DEN,DFW,1,1
AA330,ATL,DEN,14,1
AA331,ATL,SFO,12,1
AA3314,IAD,ATL,15,1
AA3317,DFW,SFO,10,1
AA3333,LAX,ORD,16,1
AA3334,SFO,LAX,3,1
AA3352,SFO,DFW,23,1
AA3353,JFK,DEN,4,1
AA3355,ORD,DFW,6,1
AA3365,DFW,ORD,4,1
AA337,DFW,SEA,23,1
AA3370,ATL,DEN,10,1
AA3377,JFK,ATL,23,1
AA3378,DFW,BOS,14,1
AA3393,DFW,LAX,8,1
AA3402,ATL,JFK,22,1
AA3406,BOS,SEA,21,1
AA3407,DFW,JFK,0,1
AA341,DEN,ORD,8,1
AA3415,LAX,SFO,17,1
AA3419,BOS,SFO,15,1
AA3427,DFW,ATL,2,1
AA3444,ORD,JFK,20,1
AA3458,SFO,SEA,14,1
AA3470,ORD,LAX,4,1
AA3471,DEN,BOS,17,1
AA3476,ORD,BOS,5,1
AA348,DEN,SEA,4,1
AA3480,LAX,ORD,0,1
AA349,LAX,SEA,20,1
AA3490,IAD,SEA,6,1
AA3493,DEN,SFO,14,1
AA3497,DFW,LAX,17,1
AA3514,ATL,LAX,14,1
AA353,ATL,DFW,2,1
AA3533,SFO,JFK,9,1
AA3534,LAX,BOS,10,1
AA3550,SEA,ATL,8,1
AA357,BOS,DEN,9,1
AA3572,DEN,JFK,8,1
AA3574,DEN,BOS,15,1
AA3580,SFO,JFK,6,1
AA359,JFK,ATL,19,1
AA3592,SEA,IAD,11,1
AA3598,BOS,JFK,22,1
AA360,SFO,BOS,8,1
AA3610,DFW,SEA,20,1
AA3612,SFO,DEN,13,1
AA3617,ORD,SEA,11,1
AA3637,SEA,ATL,13,1
AA3640,DEN,SFO,15,1
AA3642,ATL,ORD,11,1
AA3646,ATL,ORD,8,1
AA3657,ATL,SEA,0,1
AA3665,JFK,SFO,5,1
AA3670,IAD,SEA,3,1
AA3675,JFK,SFO,5,1
AA3691,BOS,IAD,17,1
AA3692,BOS,IAD,1,1
AA3693,DFW,SEA,18,1
AA3697,DFW,JFK,0,1
AA3699,DFW,IAD,11,1
AA3702,BOS,JFK,3,1
AA3703,SEA,SFO,13,1
AA3706,SEA,DFW,0,1
AA3714,DFW,JFK,17,1
AA3720,JFK,ORD,5,1
AA3730,BOS,DFW,0,1
AA3731,IAD,ORD,0,1
AA374,ATL,DEN,0,1
AA3741,ATL,DFW,0,1
AA3759,LAX,DEN,12,1
AA3763,SEA,BOS,9,1
AA3770,SEA,DFW,1,1
AA3778,ATL,JFK,22,1
AA3779,SFO,IAD,3,1
AA378,BOS,SFO,19,1
AA3780,DFW,ATL,2,1
AA3790,BOS,IAD,13,1
AA3798,DEN,ORD,19,1
AA3805,ATL,IAD,16,1
AA3806,ORD,SEA,9,1
AA3807,SEA,ORD,0,1
AA3819,LAX,BOS,2,1
AA3822,LAX,ATL,13,1
AA3823,SEA,LAX,5,1
AA3830,JFK,DFW,21,1
AA3835,BOS,DEN,5,1
AA3839,JFK,ATL,6,1
AA384,IAD,SEA,20,1
AA3840,ORD,SEA,14,1
AA3844,IAD,LAX,19,1
AA3854,DFW,ATL,15,1
AA3868,ATL,SEA,20,1
AA3871,SFO,DFW,21,1
AA3876,JFK,SFO,13,1
AA388,IAD,SFO,8,1
AA3889,JFK,IAD,23,1
AA3893,IAD,ORD,13,1
AA3903,IAD,ATL,13,1
AA3905,ATL,IAD,1,1
AA3912,JFK,BOS,7,1
AA3919,LAX,DFW,14,1
AA3921,SFO,LAX,5,1
AA3932,SFO,ATL,19,1
AA3939,DFW,ORD,14,1
AA3952,BOS,DFW,23,1
AA3954,BOS,DFW,9,1
AA3985,ATL,LAX,18,1
AA3995,ATL,JFK,22,1
AA3996,IAD,ATL,12,1
AA3998,LAX,ORD,6,1
AA4003,DEN,IAD,0,1
AA4007,DFW,JFK,21,1
AA4009,DEN,BOS,10,1
AA4010,ORD,LAX,15,1
AA4012,BOS,IAD,18,1
AA4022,ATL,DEN,2,1
AA4023,IAD,BOS,22,1
AA4059,DFW,IAD,20,1
AA4073,IAD,ORD,5,1
AA4084,SFO,SEA,4,1
AA4087,IAD,DEN,10,1
AA4093,DEN,JFK,18,1
AA4097,ORD,DFW,20,1
AA4103,DEN,DFW,15,1
AA4111,LAX,SEA,5,1
AA4112,LAX,DEN,22,1
AA4116,SEA,ORD,10,1
AA4121,BOS,ATL,14,1
AA4126,DEN,ORD,8,1
AA4127,ORD,JFK,1,1
AA4129,SEA,ATL,11,1
AA413,JFK,SEA,20,1
AA4132,ORD,DFW,6,1
AA4133,SEA,IAD,20,1
AA4139,ORD,JFK,11,1
AA4142,ORD,LAX,3,1
AA4145,SFO,ATL,21,1
AA4148,IAD,SFO,1,1
AA4170,JFK,BOS,14,1
AA4177,ORD,DFW,23,1
AA4187,ORD,SFO,16,1
AA4198,ORD,DFW,17,1
AA4206,ORD,SEA,15,1
AA4214,IAD,JFK,5,1
AA423,SFO,ATL,20,1
AA4231,BOS,IAD,18,1
AA4233,SFO,LAX,23,1
AA4236,BOS,SFO,20,1
AA4246,SEA,JFK,8,1
AA4248,DEN,JFK,5,1
AA4251,SFO,ORD,16,1
AA4255,LAX,JFK,15,1
AA4271,ORD,IAD,1,1
AA4276,BOS,DEN,0,1
AA4278,SFO,JFK,7,1
AA428,JFK,LAX,12,1
AA4281,LAX,JFK,12,1
AA4295,SFO,DFW,18,1
AA430,DEN,SEA,19,1
AA4304,SEA,ORD,13,1
AA4307,SEA,ORD,0,1
AA4313,DFW,IAD,23,1
AA4318,SFO,DFW,0,1
AA4324,LAX,JFK,9,1
AA4331,SFO,SEA,2,1
AA4338,SEA,LAX,13,1
AA434,DFW,ORD,4,1
AA4347,ORD,IAD,20,1
AA435,ORD,DFW,17,1
AA4351,ATL,DFW,14,1
AA436,DEN,JFK,10,1
AA4368,ATL,SFO,9,1
AA4370,BOS,SFO,0,1
AA4372,DEN,ATL,23,1
AA4379,ATL,JFK,16,1
AA4384,BOS,LAX,11,1
AA4389,DEN,BOS,7,1
AA4392,JFK,ATL,23,2
AA4404,JFK,ORD,9,1
AA4413,DEN,JFK,19,1
AA4415,DEN,DFW,18,1
AA4428,SEA,DEN,13,1
AA444,DFW,SEA,10,1
AA4447,IAD,ORD,12,1
AA4450,LAX,JFK,20,1
AA4456,LAX,BOS,7,1
AA4459,LAX,SFO,21,1
AA4463,IAD,DFW,19,1
AA4464,ATL,LAX,23,1
AA4480,DFW,ORD,17,1
AA4505,DFW,DEN,10,1
AA4506,LAX,SFO,2,1
AA4508,DFW,DEN,19,1
AA4514,JFK,SEA,18,1
AA4517,SEA,LAX,7,1
AA4528,JFK,SFO,14,1
AA4536,BOS,SEA,20,1
AA4546,IAD,ATL,9,1
AA4554,BOS,SFO,1,1
AA4557,SFO,JFK,16,1
AA4567,ORD,IAD,19,1
AA4568,SFO,JFK,2,1
AA4569,BOS,DFW,6,1
AA4573,DEN,BOS,5,1
AA458,IAD,DFW,6,1
AA4583,BOS,SFO,3,1
AA4587,DFW,SEA,20,1
AA460,SEA,IAD,9,1
AA4600,JFK,IAD,6,1
AA4605,ORD,SFO,11,1
AA4609,ORD,SEA,23,1
AA4610,ATL,ORD,18,1
AA4613,DFW,JFK,15,1
AA4623,SFO,LAX,7,1
AA4630,ORD,SEA,9,1
AA4632,ATL,SEA,20,1
AA4637,SFO,BOS,20,1
AA4639,DEN,JFK,5,1
AA4643,DFW,DEN,8,1
AA4646,SEA,SFO,4,1
AA4669,ORD,DFW,14,1
AA4676,ORD,JFK,16,1
AA4677,DEN,ORD,19,1
AA4681,IAD,ORD,23,1
AA4683,LAX,DFW,12,1
AA4685,LAX,JFK,4,1
AA4690,IAD,JFK,8,1
AA4692,SEA,LAX,15,1
AA470,LAX,DFW,17,1
AA4731,SEA,ATL,17,1
AA4732,SEA,JFK,14,1
AA4733,IAD,ATL,0,1
AA4735,SEA,SFO,6,1
AA4738,DFW,BOS,18,1
AA4742,SEA,DEN,15,1
AA4744,ORD,BOS,6,1
AA475,LAX,ATL,2,1
AA4750,LAX,SFO,14,1
AA4751,ORD,DFW,10,1
AA4753,DEN,IAD,5,1
AA4758,SEA,DEN,1,1
AA4764,DFW,IAD,0,1
AA4780,DFW,IAD,16,1
AA4787,BOS,ATL,20,1
AA4792,LAX,IAD,18,1
AA4796,JFK,SFO,12,1
AA4809,ORD,IAD,15,1
AA481,SEA,ATL,4,1
AA4818,DFW,JFK,10,1
AA4825,IAD,SFO,11,1
AA4832,SEA,IAD,6,1
AA4837,IAD,ATL,5,1
AA4839,SFO,IAD,12,1
AA4856,LAX,IAD,20,1
AA4858,SEA,ATL,22,1
AA4860,IAD,ATL,11,1
AA4865,LAX,JFK,16,1
AA4866,ATL,ORD,10,1
AA4869,IAD,ATL,1,1
AA4871,SFO,ORD,19,1
AA4874,JFK,SEA,12,1
AA4877,DEN,IAD,23,1
AA488,DFW,IAD,14,1
AA4880,JFK,LAX,6,1
AA4882,IAD,JFK,5,1
AA4896,ATL,SEA,0,1
AA4897,ATL,JFK,19,1
AA4914,DEN,SEA,12,1
AA4920,IAD,SFO,12,1
AA4924,SEA,DEN,2,1
AA4927,BOS,LAX,9,1
AA4928,DEN,ATL,21,1
AA493,SFO,SEA,21,1
AA4931,JFK,DEN,9,1
AA4936,ORD,IAD,15,1
AA4950,BOS,DFW,10,1
AA4955,ATL,DEN,2,1
AA4968,ATL,SEA,0,1
AA497,ORD,JFK,10,1
AA4976,LAX,ATL,12,1
AA4980,ORD,SEA,19,1
AA4983,SFO,DFW,6,1
AA4987,LAX,SEA,6,1
AA4994,DFW,IAD,11,1
AA5007,ATL,JFK,20,1
AA5011,DFW,ORD,14,1
AA5022,LAX,IAD,6,1
AA5027,DEN,ORD,5,1
AA5028,BOS,DEN,19,1
AA5030,ORD,DEN,11,1
AA5037,SFO,BOS,19,1
AA5050,DFW,DEN,20,1
AA5054,ATL,LAX,9,1
AA5058,ORD,LAX,9,1
AA5064,SFO,IAD,1,1
AA5068,DEN,IAD,1,1
AA5089,ORD,JFK,20,1
AA5092,ORD,SFO,12,1
AA510,SEA,BOS,5,1
AA5108,LAX,ATL,12,1
AA5117,LAX,ORD,21,1
AA5123,LAX,BOS,9,1
AA5161,JFK,LAX,21,1
AA5167,ORD,IAD,8,1
AA5170,DEN,ATL,3,1
AA5176,ATL,SFO,20,1
AA5181,ORD,JFK,22,1
AA5185,ORD,BOS,10,1
AA5190,LAX,JFK,14,1
AA5200,DFW,JFK,14,1
AA5204,IAD,SFO,9,1
AA5215,LAX,JFK,10,1
AA522,ORD,SFO,0,1
AA523,JFK,SFO,18,1
AA5237,SFO,JFK,21,1
AA5244,ATL,LAX,12,1
AA5245,DEN,SFO,20,1
AA5255,JFK,SEA,8,1
AA5256,LAX,JFK,23,1
AA5259,DEN,SFO,16,1
AA5265,DFW,SEA,15,1
AA5271,SEA,JFK,2,1
AA5316,IAD,LAX,7,1
AA532,DEN,ATL,13,1
AA5323,BOS,LAX,3,1
AA5326,DEN,DFW,20,1
AA5338,SFO,LAX,15,1
AA5343,LAX,DFW,7,1
AA5349,ATL,DFW,15,1
AA5350,SEA,BOS,17,1
AA5353,SEA,IAD,18,1
AA5357,JFK,DFW,16,1
AA5362,DEN,SFO,19,1
AA5375,DEN,SFO,20,1
AA5403,SFO,LAX,4,1
AA5406,LAX,JFK,23,1
AA5407,LAX,ORD,4,1
AA5415,BOS,IAD,12,1
AA5416,DEN,SEA,2,1
AA542,SEA,LAX,13,1
AA5421,DEN,BOS,16,1
AA5426,DFW,IAD,11,1
AA5427,ORD,DFW,14,1
AA5428,JFK,DEN,7,1
AA5430,DEN,DFW,14,1
AA5433,ORD,JFK,6,1
AA5454,JFK,ATL,7,1
AA5458,SEA,JFK,5,1
AA5459,BOS,LAX,19,1
AA5464,LAX,DEN,7,1
AA5466,ATL,ORD,1,1
AA5471,DFW,BOS,7,1
AA5492,IAD,DFW,21,1
AA5507,SFO,JFK,11,1
AA5513,DEN,JFK,12,1
AA552,ATL,SFO,16,1
AA5521,IAD,ATL,5,1
AA5524,BOS,IAD,10,1
AA5529,SEA,DEN,15,1
AA554,BOS,DFW,0,1
AA5544,LAX,DEN,21,1
AA5546,IAD,DFW,20,1
AA5548,DEN,ATL,13,1
AA5550,ORD,BOS,21,1
AA5551,JFK,ATL,22,1
AA5560,SEA,LAX,10,1
AA5571,IAD,BOS,1,1
AA5580,DFW,JFK,15,1
AA5581,SEA,BOS,11,1
AA5584,SEA,LAX,18,1
AA559,JFK,LAX,17,1
AA5601,ORD,LAX,0,1
AA5608,SFO,ORD,7,1
AA5610,SEA,LAX,18,1
AA5611,ATL,SEA,15,1
AA5640,SEA,LAX,2,1
AA5655,ATL,BOS,10,1
AA5668,DFW,SEA,3,1
AA5670,LAX,ATL,18,1
AA5671,IAD,ORD,10,1
AA5676,ORD,SEA,11,1
AA5678,SFO,ORD,11,1
AA5679,ORD,JFK,21,1
AA5680,JFK,BOS,22,1
AA5700,ATL,DEN,7,1
AA5701,DEN,LAX,15,1
AA5710,JFK,DEN,0,1
AA572,IAD,LAX,7,1
AA573,ATL,SEA,16,1
AA5730,ORD,DFW,20,1
AA5732,DFW,ORD,14,1
AA5733,SFO,ATL,22,1
AA5739,DFW,JFK,23,1
AA5746,IAD,DEN,5,1
AA5752,BOS,SEA,3,1
AA5756,ATL,SEA,4,1
AA5760,DFW,JFK,12,1
AA5765,ORD,JFK,0,1
AA5769,ATL,SEA,12,1
AA5781,IAD,ATL,8,1
AA5784,BOS,ATL,0,1
AA579,JFK,DEN,6,1
AA5800,JFK,DFW,9,1
AA5801,BOS,ATL,19,1
AA5813,IAD,SFO,21,1
AA5826,LAX,SFO,21,1
AA5834,JFK,SEA,15,1
AA5849,SFO,ORD,17,1
AA5859,SFO,IAD,5,1
AA5874,LAX,IAD,18,1
AA588,ORD,BOS,8,1
AA5881,ATL,SEA,13,1
AA5882,SFO,DFW,16,1
AA5887,ATL,JFK,15,1
AA5896,BOS,DEN,2,1
AA5901,DEN,BOS,11,1
AA5909,BOS,SFO,13,1
AA5926,DEN,IAD,6,1
AA596,JFK,ORD,23,1
AA5969,BOS,ATL,7,1
AA597,DEN,ATL,10,1
AA5983,DFW,ATL,5,1
AA5989,DFW,LAX,3,1
AA5992,SFO,IAD,18,1
AA5993,BOS,DEN,15,1
AA5997,DEN,DFW,1,1
AA6001,DFW,SFO,0,1
AA6002,LAX,DEN,16,1
AA6004,JFK,BOS,14,1
AA6010,DEN,BOS,10,1
AA6016,SFO,IAD,22,1
AA6037,IAD,DFW,4,1
AA6062,SFO,IAD,16,1
AA6063,ATL,DFW,9,1
AA6068,DEN,LAX,19,1
AA6072,SFO,SEA,6,1
AA6082,IAD,SEA,17,1
AA6084,IAD,DEN,21,1
AA6092,SFO,ORD,18,1
AA6093,BOS,LAX,16,1
AA6099,ATL,ORD,10,1
AA6116,LAX,SEA,19,1
AA6117,IAD,LAX,9,1
AA6126,IAD,DEN,15,1
AA6137,DFW,ORD,2,1
AA6151,SFO,ORD,16,1
AA6153,JFK,LAX,13,1
AA6158,SFO,DFW,3,1
AA6159,LAX,BOS,20,1
AA6160,DEN,SEA,6,1
AA6164,DEN,IAD,15,1
AA6174,ATL,JFK,10,1
AA6178,IAD,BOS,4,1
AA618,SEA,ORD,17,1
AA6180,JFK,LAX,20,1
AA6184,SFO,SEA,6,1
AA6194,SFO,DFW,6,1
AA6196,ORD,IAD,18,1
AA6201,ORD,BOS,15,1
AA6202,IAD,DFW,11,1
AA6209,JFK,DEN,2,1
AA6223,JFK,ORD,20,1
AA6233,SFO,JFK,17,1
AA6236,IAD,ATL,13,1
AA6247,ORD,DEN,1,1
AA6250,BOS,SFO,17,1
AA6253,JFK,LAX,19,1
AA6260,DEN,LAX,2,1
AA627,IAD,DFW,13,1
AA628,SEA,IAD,17,1
AA6282,ORD,IAD,7,1
AA6287,ATL,SEA,19,1
AA6288,BOS,ORD,1,1
AA6294,BOS,ORD,19,1
AA631,BOS,ORD,9,1
AA6313,LAX,IAD,9,1
AA6319,IAD,DFW,2,1
AA6343,ATL,SEA,7,1
AA6345,DEN,SEA,16,1
